question,intent,response,clean_question
What should I do at a red light?,red_light,Stop your vehicle at a red traffic signal and wait until it is safe to proceed.,what should i do at a red light
What do I do when the traffic signal is red?,red_light,You should stop when the traffic signal is red.,what do i do when the traffic signal is red
Should I stop at a red signal?,red_light,"Yes, you should stop at a red traffic signal.",should i stop at a red signal
Can I cross the road on a red light?,red_light,You should not cross against a red traffic signal.,can i cross the road on a red light
Should I wear a helmet?,helmet,Motorcycle riders should wear a helmet for safety.,should i wear a helmet
Is helmet necessary while riding a bike?,helmet,"Yes, wearing a helmet is an important safety measure for bike riders.",is helmet necessary while riding a bike
Do motorcycle riders need helmets?,helmet,Motorcycle riders and passengers should wear helmets.,do motorcycle riders need helmets
Is it safe to ride without a helmet?,helmet,Riding without a helmet is unsafe and should be avoided.,is it safe to ride without a helmet
Should I wear a seat belt?,seat_belt,You should wear a seat belt while travelling in a car.,should i wear a seat belt
Is seat belt required in a car?,seat_belt,Seat belts should be used by the driver and passengers.,is seat belt required in a car
Do passengers need to wear seat belts?,seat_belt,Passengers should also use seat belts where available.,do passengers need to wear seat belts
Why should I use a seat belt?,seat_belt,Seat belts help reduce the risk of serious injury during a crash.,why should i use a seat belt
Can I use my phone while driving?,mobile_phone,Avoid using a mobile phone while driving because it can distract you.,can i use my phone while driving
Is mobile phone use allowed while driving?,mobile_phone,Using a phone while driving can be dangerous and may be restricted by local law.,is mobile phone use allowed while driving
Can I text while driving?,mobile_phone,Do not text while driving.,can i text while driving
Should I use my phone while driving?,mobile_phone,Keep your attention on the road and avoid phone use while driving.,should i use my phone while driving
What is the speed limit?,speed_limit,Follow the speed limit displayed for the road you are driving on.,what is the speed limit
How fast can I drive?,speed_limit,Your speed should remain within the posted speed limit.,how fast can i drive
Can I exceed the speed limit?,speed_limit,You should not exceed the posted speed limit.,can i exceed the speed limit
Should I follow the posted speed limit?,speed_limit,Always follow the applicable posted speed limit.,should i follow the posted speed limit
Can I overtake from the wrong side?,overtaking,Overtaking should only be done when it is safe and legally permitted.,can i overtake from the wrong side
What are the rules for overtaking?,overtaking,Overtake only when the road conditions and traffic rules allow it.,what are the rules for overtaking
When is overtaking allowed?,overtaking,Overtaking is allowed only in safe and permitted situations.,when is overtaking allowed
Is dangerous overtaking allowed?,overtaking,Dangerous overtaking should always be avoided.,is dangerous overtaking allowed
Can I park anywhere?,parking,Park only where parking is permitted.,can i park anywhere
Where should I park my vehicle?,parking,Use a designated or legally permitted parking area.,where should i park my vehicle
Is parking allowed here?,parking,Check the signs and markings before parking.,is parking allowed here
Can I park near a traffic signal?,parking,Do not park where traffic signs or markings prohibit parking.,can i park near a traffic signal
Can I drive without a license?,driving_license,You need a valid driving license to legally drive a vehicle.,can i drive without a license
Do I need a driving license?,driving_license,A valid driving license is required for driving.,do i need a driving license
Is a valid license required for driving?,driving_license,You should have the appropriate valid license for the vehicle.,is a valid license required for driving
Can I drive with an expired license?,driving_license,Do not drive with an expired license.,can i drive with an expired license
What should I do at a zebra crossing?,pedestrian,Slow down and give pedestrians the appropriate right of way at a crossing.,what should i do at a zebra crossing
Should I stop for pedestrians?,pedestrian,You should give way to pedestrians where traffic rules require it.,should i stop for pedestrians
